STNAME,CNTYCODE,CNTYNAME,POP2010
Missouri,177,Ray County,23494
Missouri,179,Reynolds County,6696
Missouri,181,Ripley County,14100
Missouri,183,St. Charles County,360485
Missouri,185,St. Clair County,9805
Missouri,186,Ste. Genevieve County,18145
Missouri,187,St. Francois County,65359
Missouri,189,St. Louis County,998954
Missouri,195,Saline County,23370
Missouri,197,Schuyler County,4431
Missouri,199,Scotland County,4843
Missouri,201,Scott County,39191
Missouri,203,Shannon County,8441
Missouri,205,Shelby County,6373
Missouri,207,Stoddard County,29968
Missouri,209,Stone County,32202
Missouri,211,Sullivan County,6714
Missouri,213,Taney County,51675
Missouri,215,Texas County,26008
Missouri,217,Vernon County,21159
Missouri,219,Warren County,32513
Missouri,221,Washington County,25195
Missouri,223,Wayne County,13521
Missouri,225,Webster County,36202
Missouri,227,Worth County,2171
Missouri,229,Wright County,18815
Missouri,510,St. Louis city,319294
Montana,1,Beaverhead County,9246
Montana,3,Big Horn County,12865
Montana,5,Blaine County,6491
Montana,7,Broadwater County,5612
Montana,9,Carbon County,10078
Montana,11,Carter County,1160
Montana,13,Cascade County,81327
Montana,15,Chouteau County,5813
Montana,17,Custer County,11699
Montana,19,Daniels County,1751
Montana,21,Dawson County,8966
Montana,23,Deer Lodge County,9298
Montana,25,Fallon County,2890
Montana,27,Fergus County,11586
Montana,29,Flathead County,90928
Montana,31,Gallatin County,89513
Montana,33,Garfield County,1206
Montana,35,Glacier County,13399
Montana,37,Golden Valley County,884
Montana,39,Granite County,3079
Montana,41,Hill County,16096
Montana,43,Jefferson County,11406
Montana,45,Judith Basin County,2072
Montana,47,Lake County,28746
Montana,49,Lewis and Clark County,63395
Montana,51,Liberty County,2339
Montana,53,Lincoln County,19687
Montana,55,McCone County,1734
Montana,57,Madison County,7691
Montana,59,Meagher County,1891
Montana,61,Mineral County,4223
Montana,63,Missoula County,109299
Montana,65,Musselshell County,4538
Montana,67,Park County,15636
Montana,69,Petroleum County,494
Montana,71,Phillips County,4253
Montana,73,Pondera County,6153
Montana,75,Powder River County,1743
Montana,77,Powell County,7027
Montana,79,Prairie County,1179
Montana,81,Ravalli County,40212
Montana,83,Richland County,9746
Montana,85,Roosevelt County,10425
Montana,87,Rosebud County,9233
Montana,89,Sanders County,11413
Montana,91,Sheridan County,3384
Montana,93,Silver Bow County,34200
Montana,95,Stillwater County,9117
Montana,97,Sweet Grass County,3651
Montana,99,Teton County,6073
Montana,101,Toole County,5324
Montana,103,Treasure County,718
Montana,105,Valley County,7369
Montana,107,Wheatland County,2168
Montana,109,Wibaux County,1017
Montana,111,Yellowstone County,147972
Montana,113,Yellowstone National Park,
Nebraska,1,Adams County,31364
Nebraska,3,Antelope County,6685
Nebraska,5,Arthur County,460
Nebraska,7,Banner County,690
Nebraska,9,Blaine County,478
Nebraska,11,Boone County,5505
Nebraska,13,Box Butte County,11308
Nebraska,15,Boyd County,2099
Nebraska,17,Brown County,3145
Nebraska,19,Buffalo County,46102
Nebraska,21,Burt County,6858
Nebraska,23,Butler County,8395
Nebraska,25,Cass County,25241
Nebraska,27,Cedar County,8852
Nebraska,29,Chase County,3966
Nebraska,31,Cherry County,5713
Nebraska,33,Cheyenne County,9998
Nebraska,35,Clay County,6542
Nebraska,37,Colfax County,10515
Nebraska,39,Cuming County,9139
Nebraska,41,Custer County,10939
Nebraska,43,Dakota County,21006
Nebraska,45,Dawes County,9182
Nebraska,47,Dawson County,24326
Nebraska,49,Deuel County,1941
Nebraska,51,Dixon County,6000
Nebraska,53,Dodge County,36691
Nebraska,55,Douglas County,517110
Nebraska,57,Dundy County,2008
Nebraska,59,Fillmore County,5890
Nebraska,61,Franklin County,3225
Nebraska,63,Frontier County,2756
Nebraska,65,Furnas County,4959
Nebraska,67,Gage County,22311
Nebraska,69,Garden County,2057
Nebraska,71,Garfield County,2049
Nebraska,73,Gosper County,2044
Nebraska,75,Grant County,614
Nebraska,77,Greeley County,2538
Nebraska,79,Hall County,58607
Nebraska,81,Hamilton County,9124
Nebraska,83,Harlan County,3423
Nebraska,85,Hayes County,967
Nebraska,87,Hitchcock County,2908
Nebraska,89,Holt County,10435
Nebraska,91,Hooker County,736
Nebraska,93,Howard County,6274
Nebraska,95,Jefferson County,7547
Nebraska,97,Johnson County,5217
Nebraska,99,Kearney County,6489
Nebraska,101,Keith County,8368
Nebraska,103,Keya Paha County,824
Nebraska,105,Kimball County,3821
Nebraska,107,Knox County,8701
Nebraska,109,Lancaster County,285407
Nebraska,111,Lincoln County,36288
Nebraska,113,Logan County,763
Nebraska,115,Loup County,632
Nebraska,117,McPherson County,539
Nebraska,119,Madison County,34876
Nebraska,121,Merrick County,7845
Nebraska,123,Morrill County,5042
Nebraska,125,Nance County,3735
Nebraska,127,Nemaha County,7248
Nebraska,129,Nuckolls County,4500
Nebraska,131,Otoe County,15740
Nebraska,133,Pawnee County,2773
Nebraska,135,Perkins County,2970
Nebraska,137,Phelps County,9188
Nebraska,139,Pierce County,7266
Nebraska,141,Platte County,32237
Nebraska,143,Polk County,5406
Nebraska,145,Red Willow County,11055
Nebraska,147,Richardson County,8363
Nebraska,149,Rock County,1526
Nebraska,151,Saline County,14200
Nebraska,153,Sarpy County,158840
Nebraska,155,Saunders County,20780
Nebraska,157,Scotts Bluff County,36970
Nebraska,159,Seward County,16750
Nebraska,161,Sheridan County,5469
Nebraska,163,Sherman County,3152
Nebraska,165,Sioux County,1311
Nebraska,167,Stanton County,6129
Nebraska,169,Thayer County,5228
Nebraska,171,Thomas County,647
Nebraska,173,Thurston County,6940
Nebraska,175,Valley County,4260
Nebraska,177,Washington County,20234
Nebraska,179,Wayne County,9595
Nebraska,181,Webster County,3812
Nebraska,183,Wheeler County,818
Nebraska,185,York County,13665
Nevada,1,Churchill County,24877
Nevada,3,Clark County,1951269
Nevada,5,Douglas County,46997
Nevada,7,Elko County,48818
Nevada,9,Esmeralda County,783
Nevada,11,Eureka County,1987
Nevada,13,Humboldt County,16528
Nevada,15,Lander County,5775
Nevada,17,Lincoln County,5345
Nevada,19,Lyon County,51980
Nevada,21,Mineral County,4772
Nevada,23,Nye County,43946
Nevada,27,Pershing County,6753
Nevada,29,Storey County,4010
Nevada,31,Washoe County,421407
Nevada,33,White Pine County,10030
Nevada,510,Carson City,55274
New Hampshire,1,Belknap County,60088
New Hampshire,3,Carroll County,47818
New Hampshire,5,Cheshire County,77117
New Hampshire,7,Coos County,33055
New Hampshire,9,Grafton County,89118
New Hampshire,11,Hillsborough County,400721
New Hampshire,13,Merrimack County,146445
New Hampshire,15,Rockingham County,295223
New Hampshire,17,Strafford County,123143
New Hampshire,19,Sullivan County,43742
New Jersey,1,Atlantic County,274549
New Jersey,3,Bergen County,905116
New Jersey,5,Burlington County,448734
New Jersey,7,Camden County,513657
New Jersey,9,Cape May County,97265
New Jersey,11,Cumberland County,156898
New Jersey,13,Essex County,783969
New Jersey,15,Gloucester County,288288
New Jersey,17,Hudson County,634266
New Jersey,19,Hunterdon County,128349
New Jersey,21,Mercer County,366513
New Jersey,23,Middlesex County,809858
New Jersey,25,Monmouth County,630380
New Jersey,27,Morris County,492276
New Jersey,29,Ocean County,576567
New Jersey,31,Passaic County,501226
New Jersey,33,Salem County,66083
New Jersey,35,Somerset County,323444
New Jersey,37,Sussex County,149265
New Jersey,39,Union County,536499
New Jersey,41,Warren County,108692
New Mexico,1,Bernalillo County,662564
New Mexico,3,Catron County,3725
New Mexico,5,Chaves County,65645
New Mexico,6,Cibola County,27213
New Mexico,7,Colfax County,13750
New Mexico,9,Curry County,48376
New Mexico,11,De Baca County,2022
New Mexico,13,Do..a Ana County,209233
New Mexico,15,Eddy County,53829
New Mexico,17,Grant County,29514
New Mexico,19,Guadalupe County,4687
New Mexico,21,Harding County,695
New Mexico,23,Hidalgo County,4894
New Mexico,25,Lea County,64727
New Mexico,27,Lincoln County,20497
New Mexico,28,Los Alamos County,17950
New Mexico,29,Luna County,25095
New Mexico,31,McKinley County,71492
New Mexico,33,Mora County,4881
New Mexico,35,Otero County,63797
New Mexico,37,Quay County,9041
New Mexico,39,Rio Arriba County,40246
New Mexico,41,Roosevelt County,19846
New Mexico,43,Sandoval County,131561
New Mexico,45,San Juan County,130044
New Mexico,47,San Miguel County,29393
New Mexico,49,Santa Fe County,144170
New Mexico,51,Sierra County,11988
New Mexico,53,Socorro County,17866
New Mexico,55,Taos County,32937
New Mexico,57,Torrance County,16383
New Mexico,59,Union County,4549
New Mexico,61,Valencia County,76569
New York,1,Albany County,304204
New York,3,Allegany County,48946
New York,5,Bronx County,1385108
New York,7,Broome County,200600
New York,9,Cattaraugus County,80317
New York,11,Cayuga County,80026
New York,13,Chautauqua County,134905
New York,15,Chemung County,88830
New York,17,Chenango County,50477
New York,19,Clinton County,82128
New York,21,Columbia County,63096
New York,23,Cortland County,49336
New York,25,Delaware County,47980
New York,27,Dutchess County,297488
New York,29,Erie County,919040
New York,31,Essex County,39370
New York,33,Franklin County,51599
New York,35,Fulton County,55531
New York,37,Genesee County,60079
New York,39,Greene County,49221
New York,41,Hamilton County,4836
New York,43,Herkimer County,64519
New York,45,Jefferson County,116229
New York,47,Kings County,2504700
New York,49,Lewis County,27087
New York,51,Livingston County,65393
New York,53,Madison County,73442
New York,55,Monroe County,744344
New York,57,Montgomery County,50219
New York,59,Nassau County,1339532
New York,61,New York County,1585873
New York,63,Niagara County,216469
New York,65,Oneida County,234878
New York,67,Onondaga County,467026
New York,69,Ontario County,107931
New York,71,Orange County,372813
New York,73,Orleans County,42883
New York,75,Oswego County,122109
New York,77,Otsego County,62259
New York,79,Putnam County,99710
New York,81,Queens County,2230722
New York,83,Rensselaer County,159429
New York,85,Richmond County,468730
New York,87,Rockland County,311687
New York,89,St. Lawrence County,111944
New York,91,Saratoga County,219607
New York,93,Schenectady County,154727
New York,95,Schoharie County,32749
New York,97,Schuyler County,18343
New York,99,Seneca County,35251
New York,101,Steuben County,98990
New York,103,Suffolk County,1493350
New York,105,Sullivan County,77547
New York,107,Tioga County,51125
New York,109,Tompkins County,101564
New York,111,Ulster County,182493
New York,113,Warren County,65707
New York,115,Washington County,63216
New York,117,Wayne County,93772
New York,119,Westchester County,949113
New York,121,Wyoming County,42155
New York,123,Yates County,25348
North Carolina,1,Alamance County,151131
North Carolina,3,Alexander County,37198
North Carolina,5,Alleghany County,11155
North Carolina,7,Anson County,26948
North Carolina,9,Ashe County,27281
North Carolina,11,Avery County,17797
North Carolina,13,Beaufort County,47759
North Carolina,15,Bertie County,21282
North Carolina,17,Bladen County,35190
North Carolina,19,Brunswick County,107431
North Carolina,21,Buncombe County,238318
North Carolina,23,Burke County,90912
North Carolina,25,Cabarrus County,178011
North Carolina,27,Caldwell County,83029
North Carolina,29,Camden County,9980
North Carolina,31,Carteret County,66469
North Carolina,33,Caswell County,23719
North Carolina,35,Catawba County,154358
North Carolina,37,Chatham County,63505
North Carolina,39,Cherokee County,27444
North Carolina,41,Chowan County,14793
North Carolina,43,Clay County,10587
North Carolina,45,Cleveland County,98078
North Carolina,47,Columbus County,58098
North Carolina,49,Craven County,103505
North Carolina,51,Cumberland County,319431
North Carolina,53,Currituck County,23547
North Carolina,55,Dare County,33920
North Carolina,57,Davidson County,162878
North Carolina,59,Davie County,41240
North Carolina,61,Duplin County,58505
North Carolina,63,Durham County,267587
North Carolina,65,Edgecombe County,56552
North Carolina,67,Forsyth County,350670
North Carolina,69,Franklin County,60619
North Carolina,71,Gaston County,206086
North Carolina,73,Gates County,12197
North Carolina,75,Graham County,8861
North Carolina,77,Granville County,59916
North Carolina,79,Greene County,21362
North Carolina,81,Guilford County,488406
North Carolina,83,Halifax County,54691
North Carolina,85,Harnett County,114678
North Carolina,87,Haywood County,59036
North Carolina,89,Henderson County,106740
North Carolina,91,Hertford County,24669
North Carolina,93,Hoke County,46952
North Carolina,95,Hyde County,5810
North Carolina,97,Iredell County,159437
North Carolina,99,Jackson County,40271
North Carolina,101,Johnston County,168878
North Carolina,103,Jones County,10153
North Carolina,105,Lee County,57866
North Carolina,107,Lenoir County,59495
North Carolina,109,Lincoln County,78265
North Carolina,111,McDowell County,44996
North Carolina,113,Macon County,33922
North Carolina,115,Madison County,20764
North Carolina,117,Martin County,24505
North Carolina,119,Mecklenburg County,919628
North Carolina,121,Mitchell County,15579
North Carolina,123,Montgomery County,27798
North Carolina,125,Moore County,88247
North Carolina,127,Nash County,95840
North Carolina,129,New Hanover County,202667
North Carolina,131,Northampton County,22099
North Carolina,133,Onslow County,177772
North Carolina,135,Orange County,133801
North Carolina,137,Pamlico County,13144
North Carolina,139,Pasquotank County,40661
North Carolina,141,Pender County,52217
North Carolina,143,Perquimans County,13453
North Carolina,145,Person County,39464
North Carolina,147,Pitt County,168148
North Carolina,149,Polk County,20510
North Carolina,151,Randolph County,141752
North Carolina,153,Richmond County,46639
North Carolina,155,Robeson County,134168
North Carolina,157,Rockingham County,93643
North Carolina,159,Rowan County,138428
North Carolina,161,Rutherford County,67810
North Carolina,163,Sampson County,63431
North Carolina,165,Scotland County,36157
North Carolina,167,Stanly County,60585
North Carolina,169,Stokes County,47401
North Carolina,171,Surry County,73673
North Carolina,173,Swain County,13981
North Carolina,175,Transylvania County,33090
North Carolina,177,Tyrrell County,4407
North Carolina,179,Union County,201292
North Carolina,181,Vance County,45422
North Carolina,183,Wake County,900993
North Carolina,185,Warren County,20972
North Carolina,187,Washington County,13228
North Carolina,189,Watauga County,51079
North Carolina,191,Wayne County,122623
North Carolina,193,Wilkes County,69340
North Carolina,195,Wilson County,81234
North Carolina,197,Yadkin County,38406
North Carolina,199,Yancey County,17818
North Dakota,1,Adams County,2343
North Dakota,3,Barnes County,11066
North Dakota,5,Benson County,6660
North Dakota,7,Billings County,783
North Dakota,9,Bottineau County,6429
North Dakota,11,Bowman County,3151
North Dakota,13,Burke County,1968
North Dakota,15,Burleigh County,81308
North Dakota,17,Cass County,149778
North Dakota,19,Cavalier County,3993
North Dakota,21,Dickey County,5289
North Dakota,23,Divide County,2071
North Dakota,25,Dunn County,3536
North Dakota,27,Eddy County,2385
North Dakota,29,Emmons County,3550
North Dakota,31,Foster County,3343
North Dakota,33,Golden Valley County,1680
North Dakota,35,Grand Forks County,66861
North Dakota,37,Grant County,2394
North Dakota,39,Griggs County,2420
North Dakota,41,Hettinger County,2477
North Dakota,43,Kidder County,2435
North Dakota,45,LaMoure County,4139
North Dakota,47,Logan County,1990
North Dakota,49,McHenry County,5395
North Dakota,51,McIntosh County,2809
North Dakota,53,McKenzie County,6360
North Dakota,55,McLean County,8962
North Dakota,57,Mercer County,8424
North Dakota,59,Morton County,27471
North Dakota,61,Mountrail County,7673
North Dakota,63,Nelson County,3126
North Dakota,65,Oliver County,1846
North Dakota,67,Pembina County,7413
North Dakota,69,Pierce County,4357
North Dakota,71,Ramsey County,11451
North Dakota,73,Ransom County,5457
North Dakota,75,Renville County,2470
North Dakota,77,Richland County,16321
North Dakota,79,Rolette County,13937
North Dakota,81,Sargent County,3829
North Dakota,83,Sheridan County,1321
North Dakota,85,Sioux County,4153
North Dakota,87,Slope County,727
North Dakota,89,Stark County,24199
North Dakota,91,Steele County,1975
North Dakota,93,Stutsman County,21100
North Dakota,95,Towner County,2246
North Dakota,97,Traill County,8121
North Dakota,99,Walsh County,11119
North Dakota,101,Ward County,61675
North Dakota,103,Wells County,4207
North Dakota,105,Williams County,22398
Ohio,1,Adams County,28550
Ohio,3,Allen County,106331
Ohio,5,Ashland County,53139
Ohio,7,Ashtabula County,101497
Ohio,9,Athens County,64757
Ohio,11,Auglaize County,45949
Ohio,13,Belmont County,70400
Ohio,15,Brown County,44846
Ohio,17,Butler County,368130
Ohio,19,Carroll County,28836
Ohio,21,Champaign County,40097
Ohio,23,Clark County,138333
Ohio,25,Clermont County,197363
Ohio,27,Clinton County,42040
Ohio,29,Columbiana County,107841
Ohio,31,Coshocton County,36901
Ohio,33,Crawford County,43784
Ohio,35,Cuyahoga County,1280122
Ohio,37,Darke County,52959
Ohio,39,Defiance County,39037
Ohio,41,Delaware County,174214
Ohio,43,Erie County,77079
Ohio,45,Fairfield County,146156
Ohio,47,Fayette County,29030
Ohio,49,Franklin County,1163414
Ohio,51,Fulton County,42698
Ohio,53,Gallia County,30934
Ohio,55,Geauga County,93389
Ohio,57,Greene County,161573
Ohio,59,Guernsey County,40087
Ohio,61,Hamilton County,802374
Ohio,63,Hancock County,74782
Ohio,65,Hardin County,32058
Ohio,67,Harrison County,15864
Ohio,69,Henry County,28215
Ohio,71,Highland County,43589
Ohio,73,Hocking County,29380
Ohio,75,Holmes County,42366
Ohio,77,Huron County,59626
Ohio,79,Jackson County,33225
Ohio,81,Jefferson County,69709
Ohio,83,Knox County,60921
Ohio,85,Lake County,230041
Ohio,87,Lawrence County,62450
Ohio,89,Licking County,166492
Ohio,91,Logan County,45858
Ohio,93,Lorain County,301356
Ohio,95,Lucas County,441815
Ohio,97,Madison County,43435
Ohio,99,Mahoning County,238823
Ohio,101,Marion County,66501
Ohio,103,Medina County,172332
Ohio,105,Meigs County,23770
Ohio,107,Mercer County,40814
Ohio,109,Miami County,102506
Ohio,111,Monroe County,14642
Ohio,113,Montgomery County,535153
Ohio,115,Morgan County,15054
Ohio,117,Morrow County,34827
Ohio,119,Muskingum County,86074
Ohio,121,Noble County,14645
Ohio,123,Ottawa County,41428
Ohio,125,Paulding County,19614
Ohio,127,Perry County,36058
Ohio,129,Pickaway County,55698
Ohio,131,Pike County,28709
Ohio,133,Portage County,161419
Ohio,135,Preble County,42270
Ohio,137,Putnam County,34499
Ohio,139,Richland County,124475
Ohio,141,Ross County,78064
Ohio,143,Sandusky County,60944
Ohio,145,Scioto County,79499
Ohio,147,Seneca County,56745
Ohio,149,Shelby County,49423
Ohio,151,Stark County,375586
Ohio,153,Summit County,541781
Ohio,155,Trumbull County,210312
Ohio,157,Tuscarawas County,92582
Ohio,159,Union County,52300
Ohio,161,Van Wert County,28744
Ohio,163,Vinton County,13435
Ohio,165,Warren County,212693
Ohio,167,Washington County,61778
Ohio,169,Wayne County,114520
Ohio,171,Williams County,37642
Ohio,173,Wood County,125488
Ohio,175,Wyandot County,22615
Oklahoma,1,Adair County,22683
Oklahoma,3,Alfalfa County,5642
Oklahoma,5,Atoka County,14182
Oklahoma,7,Beaver County,5636
Oklahoma,9,Beckham County,22119
Oklahoma,11,Blaine County,11943
Oklahoma,13,Bryan County,42416
Oklahoma,15,Caddo County,29600
Oklahoma,17,Canadian County,115541
Oklahoma,19,Carter County,47557
Oklahoma,21,Cherokee County,46987
Oklahoma,23,Choctaw County,15205
Oklahoma,25,Cimarron County,2475
Oklahoma,27,Cleveland County,255755
Oklahoma,29,Coal County,5925
Oklahoma,31,Comanche County,124098
Oklahoma,33,Cotton County,6193
Oklahoma,35,Craig County,15029
Oklahoma,37,Creek County,69967
Oklahoma,39,Custer County,27469
Oklahoma,41,Delaware County,41487
Oklahoma,43,Dewey County,4810
Oklahoma,45,Ellis County,4151
Oklahoma,47,Garfield County,60580
Oklahoma,49,Garvin County,27576
Oklahoma,51,Grady County,52431
Oklahoma,53,Grant County,4527
Oklahoma,55,Greer County,6239
Oklahoma,57,Harmon County,2922
Oklahoma,59,Harper County,3685
Oklahoma,61,Haskell County,12769
Oklahoma,63,Hughes County,14003
Oklahoma,65,Jackson County,26446
Oklahoma,67,Jefferson County,6472
Oklahoma,69,Johnston County,10957
Oklahoma,71,Kay County,46562
Oklahoma,73,Kingfisher County,15034
Oklahoma,75,Kiowa County,9446
Oklahoma,77,Latimer County,11154
Oklahoma,79,Le Flore County,50384
Oklahoma,81,Lincoln County,34273
Oklahoma,83,Logan County,41848
Oklahoma,85,Love County,9423
Oklahoma,87,McClain County,34506
Oklahoma,89,McCurtain County,33151
Oklahoma,91,McIntosh County,20252
Oklahoma,93,Major County,7527
Oklahoma,95,Marshall County,15840
Oklahoma,97,Mayes County,41259
Oklahoma,99,Murray County,13488
Oklahoma,101,Muskogee County,70990
Oklahoma,103,Noble County,11561
Oklahoma,105,Nowata County,10536
Oklahoma,107,Okfuskee County,12191
Oklahoma,109,Oklahoma County,718633
Oklahoma,111,Okmulgee County,40069
Oklahoma,113,Osage County,47472
Oklahoma,115,Ottawa County,31848
Oklahoma,117,Pawnee County,16577
Oklahoma,119,Payne County,77350
Oklahoma,121,Pittsburg County,45837
Oklahoma,123,Pontotoc County,37492
Oklahoma,125,Pottawatomie County,69442
Oklahoma,127,Pushmataha County,11572
Oklahoma,129,Roger Mills County,3647
Oklahoma,131,Rogers County,86905
Oklahoma,133,Seminole County,25482
Oklahoma,135,Sequoyah County,42391
Oklahoma,137,Stephens County,45048
Oklahoma,139,Texas County,20640
Oklahoma,141,Tillman County,7992
Oklahoma,143,Tulsa County,603403
Oklahoma,145,Wagoner County,73085
Oklahoma,147,Washington County,50976
Oklahoma,149,Washita County,11629
Oklahoma,151,Woods County,8878
Oklahoma,153,Woodward County,20081
Oregon,1,Baker County,16134
Oregon,3,Benton County,85579
Oregon,5,Clackamas County,375992
Oregon,7,Clatsop County,37039
Oregon,9,Columbia County,49351
Oregon,11,Coos County,63043
Oregon,13,Crook County,20978
Oregon,15,Curry County,22364
Oregon,17,Deschutes County,157733
Oregon,19,Douglas County,107667
Oregon,21,Gilliam County,1871
Oregon,23,Grant County,7445
Oregon,25,Harney County,7422
Oregon,27,Hood River County,22346
Oregon,29,Jackson County,203206
Oregon,31,Jefferson County,21720
Oregon,33,Josephine County,82713
Oregon,35,Klamath County,66380
Oregon,37,Lake County,7895
Oregon,39,Lane County,351715
Oregon,41,Lincoln County,46034
Oregon,43,Linn County,116672
Oregon,45,Malheur County,31313
Oregon,47,Marion County,315335
Oregon,49,Morrow County,11173
Oregon,51,Multnomah County,735334
Oregon,53,Polk County,75403
Oregon,55,Sherman County,1765
Oregon,57,Tillamook County,25250
Oregon,59,Umatilla County,75889
Oregon,61,Union County,25748
Oregon,63,Wallowa County,7008
Oregon,65,Wasco County,25213
Oregon,67,Washington County,529710
Oregon,69,Wheeler County,1441
Oregon,71,Yamhill County,99193
Pennsylvania,1,Adams County,101407
Pennsylvania,3,Allegheny County,1223348
Pennsylvania,5,Armstrong County,68941
Pennsylvania,7,Beaver County,170539
Pennsylvania,9,Bedford County,49762
Pennsylvania,11,Berks County,411442
Pennsylvania,13,Blair County,127089
Pennsylvania,15,Bradford County,62622
Pennsylvania,17,Bucks County,625249
Pennsylvania,19,Butler County,183862
Pennsylvania,21,Cambria County,143679
Pennsylvania,23,Cameron County,5085
Pennsylvania,25,Carbon County,65249
Pennsylvania,27,Centre County,153990
Pennsylvania,29,Chester County,498886
Pennsylvania,31,Clarion County,39988
Pennsylvania,33,Clearfield County,81642
Pennsylvania,35,Clinton County,39238
Pennsylvania,37,Columbia County,67295
Pennsylvania,39,Crawford County,88765
Pennsylvania,41,Cumberland County,235406
Pennsylvania,43,Dauphin County,268100
Pennsylvania,45,Delaware County,558979
Pennsylvania,47,Elk County,31946
Pennsylvania,49,Erie County,280566
Pennsylvania,51,Fayette County,136606
Pennsylvania,53,Forest County,7716
Pennsylvania,55,Franklin County,149618
Pennsylvania,57,Fulton County,14845
Pennsylvania,59,Greene County,38686
Pennsylvania,61,Huntingdon County,45913
Pennsylvania,63,Indiana County,88880
Pennsylvania,65,Jefferson County,45200
Pennsylvania,67,Juniata County,24636
Pennsylvania,69,Lackawanna County,214437
Pennsylvania,71,Lancaster County,519445
Pennsylvania,73,Lawrence County,91108
Pennsylvania,75,Lebanon County,133568
Pennsylvania,77,Lehigh County,349497
Pennsylvania,79,Luzerne County,320918
Pennsylvania,81,Lycoming County,116111
Pennsylvania,83,McKean County,43450
Pennsylvania,85,Mercer County,116638
Pennsylvania,87,Mifflin County,46682
Pennsylvania,89,Monroe County,169842
Pennsylvania,91,Montgomery County,799874
Pennsylvania,93,Montour County,18267
Pennsylvania,95,Northampton County,297735
Pennsylvania,97,Northumberland County,94528
Pennsylvania,99,Perry County,45969
Pennsylvania,101,Philadelphia County,1526006
Pennsylvania,103,Pike County,57369
Pennsylvania,105,Potter County,17457
Pennsylvania,107,Schuylkill County,148289
Pennsylvania,109,Snyder County,39702
Pennsylvania,111,Somerset County,77742
Pennsylvania,113,Sullivan County,6428
Pennsylvania,115,Susquehanna County,43356
Pennsylvania,117,Tioga County,41981
Pennsylvania,119,Union County,44947
Pennsylvania,121,Venango County,54984
Pennsylvania,123,Warren County,41815
Pennsylvania,125,Washington County,207820
Pennsylvania,127,Wayne County,52822
Pennsylvania,129,Westmoreland County,365169
Pennsylvania,131,Wyoming County,28276
Pennsylvania,133,York County,434972
Rhode Island,1,Bristol County,49875
Rhode Island,3,Kent County,166158
Rhode Island,5,Newport County,82888
Rhode Island,7,Providence County,626667
Rhode Island,9,Washington County,126979
South Carolina,1,Abbeville County,25417
South Carolina,3,Aiken County,160099
South Carolina,5,Allendale County,10419
South Carolina,7,Anderson County,187126
South Carolina,9,Bamberg County,15987
South Carolina,11,Barnwell County,22621
South Carolina,13,Beaufort County,162233
South Carolina,15,Berkeley County,177843
South Carolina,17,Calhoun County,15175
South Carolina,19,Charleston County,350209
South Carolina,21,Cherokee County,55342
South Carolina,23,Chester County,33140
South Carolina,25,Chesterfield County,46734
South Carolina,27,Clarendon County,34971
South Carolina,29,Colleton County,38892
South Carolina,31,Darlington County,68681
South Carolina,33,Dillon County,32062
South Carolina,35,Dorchester County,136555
South Carolina,37,Edgefield County,26985
South Carolina,39,Fairfield County,23956
South Carolina,41,Florence County,136885
South Carolina,43,Georgetown County,60158
South Carolina,45,Greenville County,451225
South Carolina,47,Greenwood County,69661
South Carolina,49,Hampton County,21090
South Carolina,51,Horry County,269291
South Carolina,53,Jasper County,24777
South Carolina,55,Kershaw County,61697
South Carolina,57,Lancaster County,76652
South Carolina,59,Laurens County,66537
South Carolina,61,Lee County,19220
South Carolina,63,Lexington County,262391
South Carolina,65,McCormick County,10233
South Carolina,67,Marion County,33062
South Carolina,69,Marlboro County,28933
South Carolina,71,Newberry County,37508
South Carolina,73,Oconee County,74273
South Carolina,75,Orangeburg County,92501
South Carolina,77,Pickens County,119224
South Carolina,79,Richland County,384504
South Carolina,81,Saluda County,19875
South Carolina,83,Spartanburg County,284307
South Carolina,85,Sumter County,107456
South Carolina,87,Union County,28961
South Carolina,89,Williamsburg County,34423
South Carolina,91,York County,226073
South Dakota,3,Aurora County,2710
South Dakota,5,Beadle County,17398
South Dakota,7,Bennett County,3431
South Dakota,9,Bon Homme County,7070
South Dakota,11,Brookings County,31965
South Dakota,13,Brown County,36531
South Dakota,15,Brule County,5255
South Dakota,17,Buffalo County,1912
South Dakota,19,Butte County,10110
South Dakota,21,Campbell County,1466
South Dakota,23,Charles Mix County,9129
South Dakota,25,Clark County,3691
South Dakota,27,Clay County,13864
South Dakota,29,Codington County,27227
South Dakota,31,Corson County,4050
South Dakota,33,Custer County,8216
South Dakota,35,Davison County,19504
South Dakota,37,Day County,5710
South Dakota,39,Deuel County,4364
South Dakota,41,Dewey County,5301
South Dakota,43,Douglas County,3002
South Dakota,45,Edmunds County,4071
South Dakota,47,Fall River County,7094
South Dakota,49,Faulk County,2364
South Dakota,51,Grant County,7356
South Dakota,53,Gregory County,4271
South Dakota,55,Haakon County,1937
South Dakota,57,Hamlin County,5903
South Dakota,59,Hand County,3431
South Dakota,61,Hanson County,3331
South Dakota,63,Harding County,1255
South Dakota,65,Hughes County,17022
South Dakota,67,Hutchinson County,7343
South Dakota,69,Hyde County,1420
South Dakota,71,Jackson County,3031
South Dakota,73,Jerauld County,2071
South Dakota,75,Jones County,1006
South Dakota,77,Kingsbury County,5148
South Dakota,79,Lake County,11200
South Dakota,81,Lawrence County,24097
South Dakota,83,Lincoln County,44828
